evidence_id,claim,statistic,unit,geography,population,sample,reference_year,publication_year,organization,document_title,table_or_page,primary_url,source_grade,direct_or_indirect,verification_status,limitations
E-B07,배달 플랫폼 별점 상위 음식점 중 리뷰이벤트 운영 비율,67.1% (161/240곳),%,전국(플랫폼 상위노출 기준),배민·요기요·쿠팡이츠 3사 별점 상위 240개 음식점,240개,2024,2024,한국소비자원,배달 플랫폼 리뷰 실태조사,미확인,https://www.consumer.go.kr/user/ftc/consumer/cnsmrBBS/740/selectInfoCDMGCSLCDetail.do?infoId=A1080536,A,Direct,PASS,상위 랭킹 업체만 표본. 일반 음식점 전체로 일반화 주의
E-B12,온라인 리뷰 별점 분포는 J자형이며 구매획득·과소보고 편향의 결과,정성적 결론,N/A,미국 중심(해외),온라인 상품 리뷰 일반,미확인,미확인,2009,"Hu, Pavlou & Zhang (Communications of the ACM)",Overcoming the J-shaped Distribution of Product Reviews,미확인,https://dl.acm.org/doi/10.1145/1562764.1562800,B,Indirect,PASS,한국 음식점 리뷰 특정 연구 아님. 초록 기반
E-B11,온라인 리뷰 작성자는 자기선택된 집단이므로 전체 구매자를 대표하지 못함,정성적 결론,N/A,해외(주로 미국),온라인 상품 리뷰 작성자,미확인,미확인(2008 추정),미확인,"Li & Hitt",Self-Selection and Information Role of Online Product Reviews,미확인,https://faculty.wharton.upenn.edu/wp-content/uploads/2012/04/Self-selection.pdf,B,Indirect,PASS,서지정보 완전 검증 실패. 원문 PDF 텍스트 추출 실패
E-B13,한국어 음식점 리뷰에서 음식·가격·서비스·분위기 4개 평가항목별 감성 추출 가능,정성적(4개 평가항목),N/A,한국,한국어 음식점 리뷰 텍스트,미확인,미확인,2020,한국컴퓨터정보학회(소진수·신판섭),음식점 리뷰 감성분석을 통한 세부 평가항목별 평점 예측,한국컴퓨터정보학회논문지 25(6),https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002596643,B,Indirect,PASS,논문 본문 미열람(KCI 초록 기반). 청결·대기·접근성 등 다른 요소 포함 여부 미확인
E-R09,별점 1점 상승이 독립 레스토랑 매출을 5~9% 증가시킴,5~9%,매출 증가율(%),미국 워싱턴주 시애틀,시애틀 독립(비체인) 레스토랑,Yelp 리뷰+주 세무 매출데이터 결합,2003~2009 추정,2011 작성/2016 개정,Harvard Business School (Michael Luca),"Reviews, Reputation, and Revenue: The Case of Yelp.com (HBS WP 12-016)",원문 PDF 텍스트 추출 실패,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1928601,B,Indirect,PASS,미국·Yelp·2000년대 데이터. 체인점에는 효과 없음. 국내 전이 불가
E-R07,페르소나는 몇 명의 실제 사용자를 대표하는지 검증 불가능하며 반증 불가능하다는 방법론적 비판,정성적 결론,N/A,해외(학술),UX 방법론 일반,N/A,2006,2006,"Chapman & Milham (HFES)",The Personas' New Clothes: Methodological and Practical Arguments against a Popular Method,"Proceedings of HFES 50, 634-636",확인 필요,B,Indirect,PASS,2006년 논문. 이후 반론 문헌 존재 가능성 미검토
E-C1,소상공인 디지털·스마트기술 활용률(전체),27.2% (전년 대비 +9.2%p),%,전국,소상공인 11개 업종,약 4만개 업체,2024,2026,중소벤처기업부·소상공인시장진흥공단,2024년 기준 소상공인실태조사 결과 발표,보도자료 본문,https://www.mss.go.kr/site/smba/ex/bbs/View.do?cbIdx=86&bcIdx=1066231&parentSeq=1066231,S,Direct,PASS,업종별 종합 활용률은 미공표
E-C8,aT The외식 나침반이 매출·고객·리뷰·메뉴 분석 및 종합평가를 무료 제공,정성적(기능 존재),N/A,전국,외식사업자 및 예비창업자,N/A,2024 시범~2025 확대,2024~2025,한국농수산식품유통공사·농림축산식품부,식당 사장님을 위한 꿀팁 모르면 손해보는 내 식당 무료 상담 서비스(보도자료),보도자료 본문,https://www.atfis.or.kr/fip/front/index.do,A,Direct,PASS,로그인 후 리뷰분석 결과물 실물은 미확인. AI 사용 여부 보도자료에 미명시
E-C10,네이버 스마트플레이스 온서비스 AI가 부정 리뷰 감지 알림과 답글 초안을 제공(베타 사업자 만족도 97%),97%,%,전국,네이버 플레이스 사업자,미명시,미명시,2025-12-22,네이버,리뷰 관리부터 FAQ 응대까지…네이버 온서비스 AI 통한 SME 비즈니스 성장 지원 사례 공유,보도자료 본문,https://www.navercorp.com/media/pressReleasesDetail?seq=34203,C,Direct,PASS(Loop1 정정),기업 자체 발표. 표본·조사방법 미공개. 정식출시일·유무료 미확인. 고객유형 도출 기능은 미확인. **초안의 발표연도 2026은 오류로 Source Verifier가 적발했고 메인 Agent가 원문 날짜(2025-12-22)를 직접 재확인해 정정함**
E-C9,소상공인365(bigdata.sbiz.or.kr)가 상권별 매출·업소수·유동인구·인기검색키워드를 제공하나 리뷰 텍스트 분석 기능은 없음,64종 공공민간데이터를 22종으로 융합,종,전국(상권 단위),전국 소상공인·예비창업자,해당없음,실시간 갱신,2025(정식서비스 2025.1.2),중소벤처기업부·소상공인시장진흥공단,소상공인365,웹서비스 화면,https://bigdata.sbiz.or.kr/,A,Direct,PASS,리뷰 텍스트 분석 기능 미확인(인기 키워드는 지도 검색어이지 리뷰가 아님). 무료 여부는 요금 안내를 확인하지 못해 정부 공공서비스 관행상 추정
E-C12,캐치테이블 사장님의 AI 리뷰 신뢰도 검증 및 매출·메뉴·고객 분석 대시보드 / 배달의민족 사장님광장의 리뷰 통계,정성적(기능 존재),해당없음,전국,캐치테이블·배민 입점 사업자,해당없음,불명,다양,캐치테이블·우아한형제들,캐치테이블 우수사례(Google Cloud) / 배민외식업광장 가이드,웹페이지 본문,https://cloud.google.com/customers/intl/ko-kr/catchtable,C,Indirect,PASS,구글클라우드 고객사례 페이지·기업 가이드 요약 기반이며 서비스 로그인 화면은 미확인. 캐치테이블은 가짜리뷰 탐지 중심이고 배민은 통계 정렬 중심이라 리뷰 텍스트 감성분석 여부는 불명확
E-C11,캐시노트 AI 리뷰 관리가 배달앱·지도 리뷰를 감정 5단계 분류하고 4가지 어조 답변 제안,감정 5단계 / 어조 4가지 / 캐시노트 전체 220만 사업장,단계·가지·개,전국,캐시노트 이용 소상공인,N/A,2026,2026,한국신용데이터,캐시노트 AI 리뷰 관리 출시,기사 본문,https://www.etnews.com/20260514000324,C,Indirect,PASS,기업 공식 프레스룸 원문 미확인. 무료·유료 여부 미확인
E-C13,카카오맵 사장님센터는 후기 열람·답글만 제공하고 리뷰 키워드·평점추이 분석은 문서상 없음,정성적(기능 범위),N/A,전국,카카오맵 매장 등록 사업자,N/A,상시,상시,카카오,kakao business 비즈니스 가이드 — 매장관리/파트너 홈,해당 페이지 본문,https://kakaobusiness.gitbook.io/main/channel/run/mystore,A,Direct,PASS,문서에 없는 기능이 실제 대시보드에 있을 가능성 배제 못함
E-C15,카카오는 POI 평점·리뷰 데이터를 오픈API로도 제휴로도 제공하지 않는다고 공식 답변,정성적(정책),N/A,전국,N/A,N/A,N/A,미확인,카카오(Map API 담당자),Kakao Maps API 사용 시 리뷰 제공 가능 여부 문의 — 카카오 데브톡,포럼 답변,https://devtalk.kakao.com/t/kakao-maps-api-api/147942,C,Direct,PASS,포럼 게시물. 공식 정책문서 대비 구속력·최신성 낮을 수 있음
E-R11,네이버 지도 robots.txt가 AI 학습·RAG 목적 봇 접근을 명시 금지하고 전 경로를 Disallow,"주석: BOT ACCESS FOR THE PURPOSES OF AI TRAINING AND RETRIEVAL-AUGMENTED GENERATION (RAG) IS STRICTLY PROHIBITED / User-agent:* Disallow:/ Allow:/$ Allow:/p/$",N/A,대한민국,N/A,N/A,조회시점 2026-08-21,갱신일 불명,네이버,map.naver.com/robots.txt,파일 전문,https://map.naver.com/robots.txt,C,Direct,PASS,메인 Agent가 curl로 독립 재검증(HTTP 200). 상단 문구는 주석 라인이며 기계판독 지시어는 봇 개별 차단 + 전 경로 Disallow. robots.txt는 법적 구속력이 아닌 관행 신호
E-R11b,카카오맵 robots.txt도 동일한 AI/RAG 금지 주석과 AI 봇 개별 차단을 적용,동일 문구 및 GPTBot·ClaudeBot 등 Disallow: /,N/A,대한민국,N/A,N/A,조회시점 2026-08-21,갱신일 불명,카카오,map.kakao.com/robots.txt,파일 전문,https://map.kakao.com/robots.txt,C,Direct,PASS,메인 Agent가 curl로 독립 재검증
E-R12,네이버 이용약관이 자동화 수단에 의한 게시물 수집을 명시 금지,"원문: 네이버의 사전 허락 없이 자동화된 수단(예: 매크로 프로그램, 로봇(봇), 스파이더, 스크래퍼 등)을 이용하여 … 게시물 등을 수집하거나",N/A,대한민국,N/A,N/A,시행 2025(월일 미확인),2025,네이버,네이버 이용약관,조 번호 미확인,https://policy.naver.com/rules/service.html,C,Direct,PASS,조항 번호 특정 실패
E-C21,잡코리아-사람인 크롤링 사건에서 저작권법 제93조 DB제작자 권리 침해 및 부정경쟁행위 인정,396건 폐기 / 1억9800만원 배상,건/원,대한민국,N/A,N/A,2016~,2017(1심),서울중앙지법·서울고등법원,잡코리아 vs 사람인 크롤링 소송,판결문 원문 미확보,https://zdnet.co.kr/view/?no=20170927180839,C,Indirect,PASS,판결문 원문 미확인. 심급별 사건번호 미특정. 대법원 확정 여부 불명
E-C20,여기어때-야놀자 크롤링 형사사건에서 정보통신망 침입·업무방해·저작권법 위반 모두 무죄 확정,약 1594만회 접속 / 무죄 확정,회,대한민국,N/A,N/A,2016 행위,2022,대법원,대법원 2022.5.12. 선고 2021도1533 판결,판결문 원문 미확보,https://zdnet.co.kr/view/?no=20220512180515,B,Indirect,PASS,판결문 원문 미확인. 형사 무죄이며 민사 책임과는 별개
E-D201,안양시 음식점 및 주점업(KSIC 56) 사업체수·종사자수,"7173개 / 21234명",개/명,경기도 안양시,안양시 소재 전체 사업체,전수(전국사업체조사),2024(2024.12.31 기준),2026,통계청(원자료)·안양시청(집계·게시),2024년 기준 사업체조사 결과 — 1. 산업세세분류별 총괄(안양시).xlsx,시트1 R1385 (56.음식점 및 주점업),https://www.anyang.go.kr/main/selectBbsNttView.do?bbsNo=53&key=244&nttNo=428884,S,Direct,PASS,메인 Agent가 엑셀 원본을 직접 파싱해 재검증. 사업체조사는 인허가·국세청 통계와 모집단이 다름
E-D202,안양시 56 구별 분포,"만안구 3175개/8345명, 동안구 3998개/12889명",개/명,경기도 안양시 만안구·동안구,안양시 소재 전체 사업체,전수,2024,2026,통계청·안양시청,2024년 기준 사업체조사 결과 — 2. 산업소분류 및 동별 사업체수 종사자수(안양시).xlsx,시트1 R212,https://www.anyang.go.kr/main/selectBbsNttView.do?bbsNo=53&key=244&nttNo=428884,S,Direct,PASS,만안구+동안구=안양시 합계 정확히 일치(메인 Agent 검증)
E-D203,안양시 음식점업(KSIC 561) 사업체수·종사자수,"안양시 4743개/15316명, 만안구 2052/5855, 동안구 2691/9461",개/명,경기도 안양시,안양시 소재 전체 사업체,전수,2024,2026,통계청·안양시청,2024년 기준 사업체조사 결과(파일2 R213),시트1 R213,https://www.anyang.go.kr/main/selectBbsNttView.do?bbsNo=53&key=244&nttNo=428884,S,Direct,PASS,561+562=56 정합성 확인
E-D205,안양시 음식점업 세세분류 구성,"한식2567 외국식682(중식271 일식204 서양식139 기타68) 구내식당68 출장이동16 제과점273 피자햄버거치킨580 김밥간이557 = 4743",개,경기도 안양시,안양시 소재 전체 사업체,전수,2024,2026,통계청·안양시청,2024년 기준 사업체조사 결과(파일1),시트1 R1387~R1408,https://www.anyang.go.kr/main/selectBbsNttView.do?bbsNo=53&key=244&nttNo=428884,S,Direct,PASS,세세분류 합계=561 총계 일치 검증. 동별 세세분류는 원본에 없음
E-D208,안양시 음식점 및 주점업 동별 상위 5개 행정동,"인덕원동762 범계동483 관양동475 부림동466 안양1동455",개,경기도 안양시 행정동,안양시 소재 전체 사업체,전수,2024,2026,통계청·안양시청,2024년 기준 사업체조사 결과(파일2),시트1 R212 동별 열(머지셀 매핑 검증),https://www.anyang.go.kr/main/selectBbsNttView.do?bbsNo=53&key=244&nttNo=428884,S,Direct,PASS,메인 Agent가 머지셀 범위 매핑 후 동 합계=구 합계 일치 검증
E-D209,안양시 전체 사업체수·종사자수,"66906개 / 284815명",개/명,경기도 안양시,안양시 소재 전체 사업체,전수,2024,2026,통계청·안양시청,2024년 기준 사업체조사 결과(파일2 R5 TT 전체산업),시트1 R5,https://www.anyang.go.kr/main/selectBbsNttView.do?bbsNo=53&key=244&nttNo=428884,S,Direct,PASS,안양시청 통계지표 페이지 게재값과 일치 확인
E-D207,안양시 식품접객업소 인허가 건수,8553건,건,경기도 안양시,식품접객업 인허가(영업신고) 업소,전수(인허가 등록 기준),기준일자 확정 실패,2025~2026,경기도 안양시,경기도 안양시_식품접객업소 현황(데이터셋 15089942),파일데이터 설명 페이지,https://www.data.go.kr/data/15089942/fileData.do,A,Indirect,FIX REQUIRED,기준일자 표기 상충(2026-05-31 vs 등록 2026-06-27). CSV 실물 미열람. 사업체조사와 모집단 달라 직접 비교 불가
E-D09,안양시상권활성화센터가 마케팅 전략 컨설팅·홍보 사업화 지원을 공식 운영,정성적(사업 존재),N/A,경기도 안양시,안양시 소재 소상공인·예비창업자,N/A,2026 사업연도,2026,안양시상권활성화센터,소상공인 컨설팅 및 창업자 지원 사업 안내,사업 소개 페이지,https://www.anyang.go.kr/amrc/contents.do?key=3889,A,Direct,PASS,모집인원·예산 미확인. 지원사업 존재가 수요를 증명하지는 않음
E-D07,안양시상권활성화센터 상권 연구용역 보고서 3건의 수행 사실은 확인되나 본문은 미확보,3건,건,경기도 안양시,N/A,N/A,2023~2024,2023~2024,안양시상권활성화센터,안양1번가 상권활성화 방안 연구용역 최종보고서 외 2건,첨부파일 미열람,https://www.anyang.go.kr/amrc/selectBbsNttList.do?key=3900&bbsNo=1465,A,Direct,PASS,연구 수행 사실 확인 / 결과 원문 미확보로 분류
E-D13,KOSIS 지역통계 웹 접근 실패,N/A,N/A,N/A,N/A,N/A,N/A,N/A,통계청(KOSIS),산업별 시군별 사업체수 및 종사자수(DT_21002D003),표 미열람,https://kosis.kr/statHtml/statHtml.do?orgId=210&tblId=DT_21002D003,N/A,접근 실패,REMOVE,SSO 리다이렉트로 접근 실패. 안양시청 첨부 엑셀 원본으로 우회 확보하여 실질 손실 없음
E-N211,KSIC 56만 분리한 생존율은 보도자료에 미공표이며 KOSIS 세부표 접근 실패로 존재 여부 미확정,N/A,N/A,전국,N/A,전수(행정자료),2024,2025,국가데이터처(구 통계청),2024년 기업생멸행정통계(잠정),대분류 표만 확인,https://mods.go.kr/board.es?mid=a10301010000&bid=11469&act=view&list_no=438913,S,Direct(보도자료),FIX REQUIRED,공표되지 않음이 아니라 접근 실패로 미확인. 보고서에서 대분류 I 기준임을 명시해야 함
E-N213,국내 국가승인통계 2건에 마케팅·홍보 독립 문항이 없음을 원문 확인,부재의 확인,N/A,전국,소상공인/외식업체,약 4만개 / 3138개,2024,2026,중기부·소진공 / 농식품부·KREI,2024년 기준 소상공인실태조사 + 2025 외식업체 경영실태조사,원문 전문 키워드 검색,https://www.mss.go.kr/site/smba/ex/bbs/View.do?cbIdx=86&bcIdx=1066231&parentSeq=1066231,S,Direct,PASS,확인된 2개 조사 기준. 모든 지자체·연구기관 조사를 전수 확인한 것은 아니므로 전면 부정은 아님
